ipv4 address,network portion,host portion,class
1.10.20.30,1,10.20.30,A
2.10.20.30,2,10.20.30,A
3.10.20.30,3,10.20.30,A
4.10.20.30,4,10.20.30,A
5.10.20.30,5,10.20.30,A
6.10.20.30,6,10.20.30,A
7.10.20.30,7,10.20.30,A
8.10.20.30,8,10.20.30,A
9.10.20.30,9,10.20.30,A
10.10.20.30,10,10.20.30,A
11.10.20.30,11,10.20.30,A
12.10.20.30,12,10.20.30,A
13.10.20.30,13,10.20.30,A
14.10.20.30,14,10.20.30,A
15.10.20.30,15,10.20.30,A
16.10.20.30,16,10.20.30,A
17.10.20.30,17,10.20.30,A
18.10.20.30,18,10.20.30,A
19.10.20.30,19,10.20.30,A
20.10.20.30,20,10.20.30,A
21.10.20.30,21,10.20.30,A
22.10.20.30,22,10.20.30,A
23.10.20.30,23,10.20.30,A
24.10.20.30,24,10.20.30,A
25.10.20.30,25,10.20.30,A
26.10.20.30,26,10.20.30,A
27.10.20.30,27,10.20.30,A
28.10.20.30,28,10.20.30,A
29.10.20.30,29,10.20.30,A
30.10.20.30,30,10.20.30,A
31.10.20.30,31,10.20.30,A
32.10.20.30,32,10.20.30,A
33.10.20.30,33,10.20.30,A
34.10.20.30,34,10.20.30,A
35.10.20.30,35,10.20.30,A
36.10.20.30,36,10.20.30,A
37.10.20.30,37,10.20.30,A
38.10.20.30,38,10.20.30,A
39.10.20.30,39,10.20.30,A
40.10.20.30,40,10.20.30,A
41.10.20.30,41,10.20.30,A
42.10.20.30,42,10.20.30,A
43.10.20.30,43,10.20.30,A
44.10.20.30,44,10.20.30,A
45.10.20.30,45,10.20.30,A
46.10.20.30,46,10.20.30,A
47.10.20.30,47,10.20.30,A
48.10.20.30,48,10.20.30,A
49.10.20.30,49,10.20.30,A
50.10.20.30,50,10.20.30,A
51.10.20.30,51,10.20.30,A
52.10.20.30,52,10.20.30,A
53.10.20.30,53,10.20.30,A
54.10.20.30,54,10.20.30,A
55.10.20.30,55,10.20.30,A
56.10.20.30,56,10.20.30,A
57.10.20.30,57,10.20.30,A
58.10.20.30,58,10.20.30,A
59.10.20.30,59,10.20.30,A
60.10.20.30,60,10.20.30,A
61.10.20.30,61,10.20.30,A
62.10.20.30,62,10.20.30,A
63.10.20.30,63,10.20.30,A
64.10.20.30,64,10.20.30,A
65.10.20.30,65,10.20.30,A
66.10.20.30,66,10.20.30,A
67.10.20.30,67,10.20.30,A
68.10.20.30,68,10.20.30,A
69.10.20.30,69,10.20.30,A
70.10.20.30,70,10.20.30,A
71.10.20.30,71,10.20.30,A
72.10.20.30,72,10.20.30,A
73.10.20.30,73,10.20.30,A
74.10.20.30,74,10.20.30,A
75.10.20.30,75,10.20.30,A
76.10.20.30,76,10.20.30,A
77.10.20.30,77,10.20.30,A
78.10.20.30,78,10.20.30,A
79.10.20.30,79,10.20.30,A
80.10.20.30,80,10.20.30,A
81.10.20.30,81,10.20.30,A
82.10.20.30,82,10.20.30,A
83.10.20.30,83,10.20.30,A
84.10.20.30,84,10.20.30,A
85.10.20.30,85,10.20.30,A
86.10.20.30,86,10.20.30,A
87.10.20.30,87,10.20.30,A
88.10.20.30,88,10.20.30,A
89.10.20.30,89,10.20.30,A
90.10.20.30,90,10.20.30,A
91.10.20.30,91,10.20.30,A
92.10.20.30,92,10.20.30,A
93.10.20.30,93,10.20.30,A
94.10.20.30,94,10.20.30,A
95.10.20.30,95,10.20.30,A
96.10.20.30,96,10.20.30,A
97.10.20.30,97,10.20.30,A
98.10.20.30,98,10.20.30,A
99.10.20.30,99,10.20.30,A
100.10.20.30,100,10.20.30,A
101.10.20.30,101,10.20.30,A
102.10.20.30,102,10.20.30,A
103.10.20.30,103,10.20.30,A
104.10.20.30,104,10.20.30,A
105.10.20.30,105,10.20.30,A
106.10.20.30,106,10.20.30,A
107.10.20.30,107,10.20.30,A
108.10.20.30,108,10.20.30,A
109.10.20.30,109,10.20.30,A
110.10.20.30,110,10.20.30,A
111.10.20.30,111,10.20.30,A
112.10.20.30,112,10.20.30,A
113.10.20.30,113,10.20.30,A
114.10.20.30,114,10.20.30,A
115.10.20.30,115,10.20.30,A
116.10.20.30,116,10.20.30,A
