ipv4 address,network portion,host portion,class
196.195.81.19,196.195.81,19,C
174.111.165.110,174.111,165.110,B
198.65.212.54,198.65.212,54,C
222.72.131.152,222.72.131,152,C
196.209.46.135,196.209.46,135,C
209.103.253.114,209.103.253,114,C
133.73.208.5,133.73,208.5,B
104.250.253.69,104,250.253.69,A
148.80.138.76,148.80,138.76,B
198.59.107.25,198.59.107,25,C
99.72.5.167,99,72.5.167,A
205.192.7.9,205.192.7,9,C
216.99.133.60,216.99.133,60,C
186.0.146.41,186.0,146.41,B
220.100.237.217,220.100.237,217,C
6.158.169.94,6,158.169.94,A
213.223.89.49,213.223.89,49,C
178.158.25.251,178.158,25.251,B
145.28.76.151,145.28,76.151,B
125.66.54.170,125,66.54.170,A
38.202.110.207,38,202.110.207,A
205.250.80.148,205.250.80,148,C
173.2.198.105,173.2,198.105,B
212.40.130.85,212.40.130,85,C
7.47.137.156,7,47.137.156,A
186.51.51.102,186.51,51.102,B
175.138.104.173,175.138,104.173,B
188.106.3.253,188.106,3.253,B
217.36.223.103,217.36.223,103,C
45.224.220.220,45,224.220.220,A
195.104.88.198,195.104.88,198,C
92.208.240.7,92,208.240.7,A
181.194.167.142,181.194,167.142,B
168.115.108.159,168.115,108.159,B
128.112.42.20,128.112,42.20,B
12.173.153.22,12,173.153.22,A
148.112.242.219,148.112,242.219,B
110.83.181.250,110,83.181.250,A
78.17.14.5,78,17.14.5,A
71.82.141.66,71,82.141.66,A
180.229.105.182,180.229,105.182,B
209.84.37.218,209.84.37,218,C
66.188.229.107,66,188.229.107,A
196.117.182.243,196.117.182,243,C
64.31.241.12,64,31.241.12,A
189.182.100.252,189.182,100.252,B
192.212.73.106,192.212.73,106,C
206.222.106.0,206.222.106,0,C
221.4.126.222,221.4.126,222,C
180.45.167.94,180.45,167.94,B
160.171.42.60,160.171,42.60,B
201.1.222.148,201.1.222,148,C
17.8.107.138,17,8.107.138,A
146.254.33.57,146.254,33.57,B
129.136.153.10,129.136,153.10,B
21.42.130.199,21,42.130.199,A
97.91.147.65,97,91.147.65,A
161.90.15.115,161.90,15.115,B
214.8.137.190,214.8.137,190,C
157.144.194.108,157.144,194.108,B
215.166.120.69,215.166.120,69,C
203.68.69.79,203.68.69,79,C
215.219.189.48,215.219.189,48,C
16.160.66.86,16,160.66.86,A
85.177.87.199,85,177.87.199,A
190.26.91.198,190.26,91.198,B
151.134.207.70,151.134,207.70,B
203.50.27.254,203.50.27,254,C
219.93.117.49,219.93.117,49,C
55.140.175.82,55,140.175.82,A
206.129.82.87,206.129.82,87,C
30.73.255.249,30,73.255.249,A
164.14.115.189,164.14,115.189,B
10.162.70.117,10,162.70.117,A
210.226.151.36,210.226.151,36,C
99.19.49.151,99,19.49.151,A
195.175.13.234,195.175.13,234,C
191.63.162.127,191.63,162.127,B
44.155.136.3,44,155.136.3,A
67.43.97.250,67,43.97.250,A
153.37.184.239,153.37,184.239,B
96.210.160.196,96,210.160.196,A
149.167.5.144,149.167,5.144,B
214.133.99.165,214.133.99,165,C
106.34.10.4,106,34.10.4,A
215.214.200.139,215.214.200,139,C
220.16.116.95,220.16.116,95,C
98.60.177.206,98,60.177.206,A
129.211.146.211,129.211,146.211,B
70.65.84.174,70,65.84.174,A
98.172.190.112,98,172.190.112,A
129.190.194.186,129.190,194.186,B
51.85.87.220,51,85.87.220,A
147.176.136.39,147.176,136.39,B
223.126.21.252,223.126.21,252,C
219.127.27.204,219.127.27,204,C
155.63.87.134,155.63,87.134,B
28.179.76.174,28,179.76.174,A
186.113.44.90,186.113,44.90,B
8.123.102.47,8,123.102.47,A
139.222.153.111,139.222,153.111,B
27.19.199.133,27,19.199.133,A
131.45.136.199,131.45,136.199,B
168.103.65.165,168.103,65.165,B
53.94.35.197,53,94.35.197,A
153.134.103.56,153.134,103.56,B
146.218.86.47,146.218,86.47,B
192.77.180.114,192.77.180,114,C
219.55.22.181,219.55.22,181,C
44.150.124.136,44,150.124.136,A
216.237.63.10,216.237.63,10,C
132.146.17.123,132.146,17.123,B
153.221.15.45,153.221,15.45,B
152.169.251.139,152.169,251.139,B
74.62.195.234,74,62.195.234,A
138.60.90.197,138.60,90.197,B
189.112.154.218,189.112,154.218,B
218.233.89.97,218.233.89,97,C
190.168.178.138,190.168,178.138,B
200.3.15.129,200.3.15,129,C
32.114.203.22,32,114.203.22,A
194.151.192.46,194.151.192,46,C
209.59.95.185,209.59.95,185,C
